SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Time,latitude,longitude
1,"Jan 22, 2020",Anhui,Mainland China,1,0,0,05:00 PM,33,65
2,"Jan 23, 2020",Beijing,Mainland China,14,0,0,05:00 PM,41.1533,20.1683
3,"Jan 24, 2020",Chongqing,Mainland China,6,0,0,05:00 PM,28.0339,1.6596
4,"Jan 25, 2020",Fujian,Mainland China,1,0,0,05:00 PM,42.5063,1.5218
5,"Jan 26, 2020",Gansu,Mainland China,0,0,0,05:00 PM,-11.2027,17.8739
6,"Jan 27, 2020",Guangdong,Mainland China,26,0,0,05:00 PM,17.0608,-61.7964
7,"Jan 28, 2020",Guangxi,Mainland China,2,0,0,05:00 PM,-38.4161,-63.6167
8,"Jan 29, 2020",Guizhou,Mainland China,1,0,0,05:00 PM,40.0691,45.0382
9,"Jan 30, 2020",Hainan,Mainland China,4,0,0,05:00 PM,-35.4735,149.0124
10,"Jan 31, 2020",Hebei,Mainland China,1,0,0,05:00 PM,-33.8688,151.2093
11,"Feb 01, 2020",Heilongjiang,Mainland China,0,0,0,05:00 PM,-12.4634,130.8456
12,"Feb 02, 2020",Henan,Mainland China,5,0,0,05:00 PM,-28.0167,153.4
13,"Feb 03, 2020",Hong Kong,Hong Kong,0,0,0,05:00 PM,-34.9285,138.6007
14,"Feb 04, 2020",Hubei,Mainland China,444,17,28,05:00 PM,-41.4545,145.9707
15,"Feb 05, 2020",Hunan,Mainland China,4,0,0,05:00 PM,-37.8136,144.9631
16,"Feb 06, 2020",Inner Mongolia,Mainland China,0,0,0,05:00 PM,-31.9505,115.8605
17,"Feb 07, 2020",Jiangsu,Mainland China,1,0,0,05:00 PM,47.5162,14.5501
18,"Feb 08, 2020",Jiangxi,Mainland China,2,0,0,05:00 PM,40.1431,47.5769
19,"Feb 09, 2020",Jilin,Mainland China,0,0,0,05:00 PM,25.0343,-77.3963
20,"Feb 10, 2020",Liaoning,Mainland China,2,0,0,05:00 PM,26.0275,50.55
21,"Feb 11, 2020",Macau,Macau,1,0,0,05:00 PM,23.685,90.3563
22,"Feb 12, 2020",Ningxia,Mainland China,1,0,0,05:00 PM,13.1939,-59.5432
23,"Feb 13, 2020",Qinghai,Mainland China,0,0,0,05:00 PM,53.7098,27.9534
24,"Feb 14, 2020",Shaanxi,Mainland China,0,0,0,05:00 PM,50.8333,4
25,"Feb 15, 2020",Shandong,Mainland China,2,0,0,05:00 PM,9.3077,2.3158
26,"Feb 16, 2020",Shanghai,Mainland China,9,0,0,05:00 PM,27.5142,90.4336
27,"Feb 17, 2020",Shanxi,Mainland China,1,0,0,05:00 PM,-16.2902,-63.5887
28,"Feb 18, 2020",Sichuan,Mainland China,5,0,0,05:00 PM,43.9159,17.6791
29,"Feb 19, 2020",Taiwan,Taiwan,1,0,0,05:00 PM,-14.235,-51.9253
30,"Feb 20, 2020",Tianjin,Mainland China,4,0,0,05:00 PM,4.5353,114.7277
31,"Feb 21, 2020",Tibet,Mainland China,0,0,0,05:00 PM,42.7339,25.4858
32,"Feb 22, 2020",Washington,US,1,0,0,05:00 PM,12.2383,-1.5616
33,"Feb 23, 2020",Xinjiang,Mainland China,0,0,0,05:00 PM,16.5388,-23.0418
34,"Feb 24, 2020",Yunnan,Mainland China,1,0,0,05:00 PM,11.55,104.9167
35,"Feb 25, 2020",Zhejiang,Mainland China,10,0,0,05:00 PM,3.848,11.5021
36,"Feb 26, 2020",,Japan,2,0,0,05:00 PM,53.9333,-116.5765
37,"Feb 27, 2020",,Thailand,2,0,0,05:00 PM,49.2827,-123.1207
38,"Feb 28, 2020",,South Korea,1,0,0,05:00 PM,53.7609,-98.8139
39,"Feb 29, 2020",Anhui,Mainland China,9,0,0,05:00 PM,46.5653,-66.4619
40,"Mar 01, 2020",Beijing,Mainland China,22,0,0,05:00 PM,53.1355,-57.6604
41,"Mar 02, 2020",Chongqing,Mainland China,9,0,0,05:00 PM,44.682,-63.7443
42,"Mar 03, 2020",Fujian,Mainland China,5,0,0,05:00 PM,51.2538,-85.3232
43,"Mar 04, 2020",Gansu,Mainland China,2,0,0,05:00 PM,46.5107,-63.4168
44,"Mar 05, 2020",Guangdong,Mainland China,32,0,2,05:00 PM,52.9399,-73.5491
45,"Mar 06, 2020",Guangxi,Mainland China,5,0,0,05:00 PM,52.9399,-106.4509
46,"Mar 07, 2020",Guizhou,Mainland China,3,0,0,05:00 PM,6.6111,20.9394
47,"Mar 08, 2020",Hainan,Mainland China,5,0,0,05:00 PM,15.4542,18.7322
48,"Mar 09, 2020",Hebei,Mainland China,1,1,0,05:00 PM,-35.6751,-71.543
49,"Mar 10, 2020",Heilongjiang,Mainland China,2,0,0,05:00 PM,31.8257,117.2264
50,"Mar 11, 2020",Henan,Mainland China,5,0,0,05:00 PM,40.1824,116.4142
51,"Mar 12, 2020",Hong Kong,Hong Kong,2,0,0,05:00 PM,30.0572,107.874
52,"Mar 13, 2020",Hubei,Mainland China,444,17,28,05:00 PM,26.0789,117.9874
53,"Mar 14, 2020",Hunan,Mainland China,9,0,0,05:00 PM,37.8099,101.0583
54,"Mar 15, 2020",Inner Mongolia,Mainland China,0,0,0,05:00 PM,23.3417,113.4244
55,"Mar 16, 2020",Jiangsu,Mainland China,5,0,0,05:00 PM,23.8298,108.7881
56,"Mar 17, 2020",Jiangxi,Mainland China,7,0,0,05:00 PM,26.8154,106.8748
57,"Mar 18, 2020",Jilin,Mainland China,1,0,0,05:00 PM,19.1959,109.7453
58,"Mar 19, 2020",Liaoning,Mainland China,3,0,0,05:00 PM,39.549,116.1306
59,"Mar 20, 2020",Macau,Macau,2,0,0,05:00 PM,47.862,127.7615
60,"Mar 21, 2020",Ningxia,Mainland China,1,0,0,05:00 PM,33.882,113.614
61,"Mar 22, 2020",Qinghai,Mainland China,0,0,0,05:00 PM,22.3,114.2
62,"Mar 23, 2020",Shaanxi,Mainland China,3,0,0,05:00 PM,30.9756,112.2707
63,"Mar 24, 2020",Shandong,Mainland China,6,0,0,05:00 PM,27.6104,111.7088
64,"Mar 25, 2020",Shanghai,Mainland China,16,0,0,05:00 PM,44.0935,113.9448
65,"Mar 26, 2020",Shanxi,Mainland China,1,0,0,05:00 PM,32.9711,119.455
66,"Mar 27, 2020",Sichuan,Mainland China,8,0,0,05:00 PM,27.614,115.7221
67,"Mar 28, 2020",Taiwan,Taiwan,1,0,0,05:00 PM,43.6661,126.1923
68,"Mar 29, 2020",Tianjin,Mainland China,4,0,0,05:00 PM,41.2956,122.6085
69,"Mar 30, 2020",Tibet,Mainland China,0,0,0,05:00 PM,22.1667,113.55
70,"Mar 31, 2020",Washington,US,1,0,0,05:00 PM,37.2692,106.1655
71,"Apr 01, 2020",Xinjiang,Mainland China,2,0,0,05:00 PM,35.7452,95.9956
72,"Apr 02, 2020",Yunnan,Mainland China,2,0,0,05:00 PM,35.1917,108.8701
73,"Apr 03, 2020",Zhejiang,Mainland China,27,0,0,05:00 PM,36.3427,118.1498
74,"Apr 04, 2020",,Japan,1,0,0,05:00 PM,31.202,121.4491
75,"Apr 05, 2020",,Thailand,3,0,0,05:00 PM,37.5777,112.2922
